ContractReference	EYAtBSD	AmortizedAPAtBSD	UnamortizedAPAtBSD	AdditionalPaymentID	AsOfAmortizationAdjustment	AsOfAmortizationAdjustmentDate	IASError	ImpairmentEffectiveDate	ImpairmentBucket	ImpairmentApproach	12mEL	LifetimeEL	LossAllowance
U+CI305L_BINTG_00003_I65346	6.913841454689504	3396.793212313161300	1603.206787686838700	FCCIRKHT				<EMPTY>					
U=CUBS3R_BINTG_00001_I65346				U=CUBS73			No lines in the facility	<EMPTY>					
U=CUBT17_BINTG_00001_I65346				F7CUBUJB			No lines in the facility	<EMPTY>					
G!CHA0UR_BINTG_00001_I65346	8.677188891421519	5059.359270352273600	4940.640729647726400	GZCHBANE				<EMPTY>					
V*CHA02K_BINTG_00001_I65346	8.677188891421519	5059.359270352273600	4940.640729647726400	GZCHBAJO				<EMPTY>					
V*CH9ZMB_BINTG_00001_I65346	8.670869831692704	4996.694558861403500	5003.305441138596500	GZCHBART				<EMPTY>					
V*CH9ZNJ_BINTG_00001_I65346	8.770266947308571	710306.190009443670000	3693.809990556328600	ACCHBR61				<EMPTY>					
V*CH9ZNJ_BINTG_00001_I65346	8.893353966707364	457833.819123676570000	442166.180876323430000	*NCHBHH9				<EMPTY>					
V*CH9ZNJ_BINTG_00001_I65346	8.513878805760232	5078.398121635036700	4921.601878364963300	!KCHD9PD				<EMPTY>					
V*CH9ZNJ_BINTG_00001_I65346	8.509629881183569	-173.713457548452420	-24.286542451547575	V*CH9ZRI				<EMPTY>					
V*CH9ZOZ_BINTG_00001_I65346				*7CHBGJI			No lines in the facility	<EMPTY>					
V*CH9ZOZ_BINTG_00003_I65346				*7CHBGJJ			No lines in the facility	<EMPTY>					
X.CW15SQ_BINTG_00001_I65346	6.253579456720623	-1342.614294164628500	-8657.385705835371500	X.CW164V				<EMPTY>					
X.CW15O3_BINTG_00001_I65346	6.471773470611374	1262.484729969128200	8737.515270030871800	X.CW1691				<EMPTY>					
X.CW15O3_BINTG_00001_I65346	6.253579456720623	-1342.619830920175400	-8657.380169079824600	X.CW16E0				<EMPTY>					
X.CW15O3_BINTG_00001_I65346	6.471773470611374	1262.484729969128200	8737.515270030871800	X.CW16IB				<EMPTY>					
X.CW15O3_BINTG_00001_I65346	6.471773470611374	1262.484729969128200	8737.515270030871800	X.CW15QT				<EMPTY>					
X.CW2JBZ_BINTG_00001_I65346	8.002380598450062	-5457.810590056291400	15457.810590056291000	X.CW2JPP				<EMPTY>					
X.CW2IQY_BINTG_00001_I65346	8.002380598450062	-5457.810590056291400	15457.810590056291000	X.CW2JYY				<EMPTY>					
X.CW2IQY_BINTG_00001_I65346	8.002380598450062	-5457.810590056291400	15457.810590056291000	X.CW2J5J				<EMPTY>					
